keys,en,uk
K_PLAY,Play,Грати
K_TUTOR,Tutorial,Посібник
K_SETTING,Settings,Налаштування
K_EXIT,Exit,Вийти
K_H_BR,Basic Rules,Початок
K_H_B,Building,Будівництво
K_H_A,Attack,Атака
K_H_D,Defense,Захист
K_H_E,Explosion,Вибух
K_BACK,Back,Назад
K_MENU,Menu,Меню
K_LANG,Language,Мова
K_OTHER,Other,Інше
K_MUSIC,Music,Музика
K_SFX,Sound FX,Звукові ефекти
K_AUDIO,Audio,Аудіо
K_CONTR,Control,Керування
K_S_LEFT,Move Left,Вліво
K_S_RIGHT,Move Right,Вправо
K_S_UP,Move Up,Вгору
K_S_DOWN,Move Down,Вниз
K_S_BLD,Build,Будувати
K_S_ATK,Attack,Атакувати
K_S_EXP,Explode,Підірвати
K_S_E_A,E_Attacker,Евол. Атак.
K_S_E_D,E_Defense,Евол. Зах.
K_S_E_B,E_Bomb,Евол. Виб.
K_EASY,Easy,Легкий
K_NORM,Normal,Середній
K_HARD,Hard,Складний
K_CS,"Create a standard:
%d minerals","Створити звичайний:
%d мінералів"
K_EA,"Evolve into a strike mushroom:
%d minerals","Створити атакуючий:
%d мінералів"
K_EB,"Evolve into a bomb:
%d minerals","Створити вибуховий:
%d мінералів"
K_ED,"Evolve into a protective mushroom:
%d minerals","Створити захищаючий:
%d мінералів"
K_A,"Attack:
%d minerals",Атакувати: %d мінералів
K_E,BOOM,БУМ!
K_NOT_M,Not Enough Minerals,Недостатньо мінералів
K_FAR,Too far,Занадто далеко
K_IBD,Impossible to break through the defense,Неможливо прорвати оборону
K_NOT_A,Cannot attack this tile,Неможливо атакувати цю територію
K_RELOAD,Reloading,Перезарядження
K_LOST,Your mycelium \nwas defeated,Ваш міцелій переможено
K_WIN,All enemy mycelium \nwas defeated,Міцелій ворогів переможено
K_MODE,Mode:,Режим:
K_TIME,Match time: ,Час:
K_BUILT,Mushrooms built:,Побудовано:
K_M_LOST,Mushrooms lost:,Втрачено:
K_M_GOT,Minerals got:,Мінералів отримано:
K_M_SPENT,Minerals spent:,Мінералів витрачено:
K_PAB,Press any button,Натисніть будь-яку кнопку
K_T_BAS_1,"Controls:  
 - Left click on a mushroom to
select it or an ability to use it
 - Right click to cancel the 
selection
 - Use arrow keys to look
around
 - Scroll to resize the map","Керування:
  - Натисніть лівою кнопкою 
миші по грибу, щоб вибрати 
його або його можливості
  - Натисніть правою кнопкою 
миші, щоб скасувати вибір
  - Для перегляду 
використовуйте клавіші зі 
стрілками навколо
  - Прокрутіть колесо миші, 
щоб змінити розмір карти"
K_T_BAS_2,"Goal: destroy enemy bases
 and defend your own base 
using various mushrooms


Anvanced:
A mushroom can only
survive if there is a root
leading to it, so, for example,
one could destroy several
mushrooms at a time with
the striking mushroom by
aiming at a root leading to
them. Conversely, if you
have a cluster of
mushrooms, you have to 
be extra careful not to let
an enemy mushroom
infiltrate and destroy the
root.","Мета: знищити ворожі 
бази і захистити власну 
базу з використанням 
різних грибів


Додаток:
Гриб може жити, якщо є корінь,
що з'єднаний з ним, тому, 
наприклад, можна знищити 
кілька грибів водночас 
вражаючим грибом, 
спрямованим до коріння, що 
веде до них. І навпаки, якщо ви
маєте сукупність
грибів, ви повинні
бути особливо обережним, 
щоб не допустити проникнути 
ворожому грибу та знищити
коріння."
K_T_A_1,"How does attacking work?
Select a striking mushroom 
(just left click it) ","Як працює атака?
Виберіть атакуючий гриб
(просто клацніть 
лівою кнопкою миші)"
K_T_A_2,"Then click this
ability in the bottom right
corner or press E","Потім натисніть на
здатність внизу праворуч
або натисніть E"
K_T_A_3,"Finally, click on a
mushroom, or a section of a
root you want to cut.","Нарешті натисніть нa
гриб, або частину
коріння, яку потрібно 
нейтролізувати."
K_T_B_1,"How does building work?
To build a new mushroom,
select a mushroom or the 
base (just left click it) ","Як працює будівництво?
Щоб збудувати новий гриб,
виберіть звичайний гриб або
базу (просто клацніть
лівою кнопкою миші)"
K_T_B_2,"Then click this ability in the 
bottom right corner 
or press R","Потім натисніть на цю 
здатність у правому нижньому 
куті або натисніть R"
K_T_B_3,"It costs 100 resources to
build a basic mushroom.
You can have this
mushroom produce
resources (1 resource
per second), or you can
evolve this mushroom 
into a striking mushroom
for 300 resources,
a defensive mushroom for
200 resources, or an explosive
mushroom for 500
resources.


","Це коштує 100 ресурсів, щоб
побудувати основний гриб.
Ви можете отримати з нього
ресурси (1 ресурс
за секунду), або ви можете
розвивати цей гриб
у вражаючий гриб
за 300 ресурсів,
захисний гриб за
200 ресурсів або вибуховий
гриб за 500
ресурсів.


"
K_T_D_1,"How does defence work?
After you evolve some of
your mushrooms into
defensive mushrooms,
they form a wall (within range)
that cannot be built through
(or shot through with the
striking mushroom) neither
by you or the enemy.
However, you can build 
off of your defensive
mushrooms.
The only way to break the wall
is using an explosive
mushroom.
","Як працює захист?
Після того, як ви розвинете 
деякі з ваших грибів у
захисні гриби,
вони утворюють стіну 
(у межах діапазону),
яку неможливо уразити
атакуючим грибом.
Проте можна будувати 
від вашого захисту
інші гриби.
Єдиний спосіб зламати стіну
використовує вибуховий
гриб."
K_T_E_1,"How do explosions work?
Select an explosive mushroom 
(just left click it) 
","Як працюють вибухи?
Виберіть вибуховий гриб
(просто клацніть
лівою кнопкою миші)"
K_T_E_2,"Then click this
ability in the bottom 
right corner or press Q","Потім натисніть на відповідну
здатність у нижній правій 
частині або натисніть Q"
K_T_E_3,"Finally, marvel at
an amazing mushroom blast","Нарешті, дивуйтеся
дивовижний грибний вибух"